<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.IMOEX,D,20220921,000000,2052.8900000,2186.4300000,2002.7300000,2130.7100000,79024712317
RI.IMOEX,D,20220922,000000,2138.3900000,2216.8500000,2138.3900000,2190.8700000,69446265297
RI.IMOEX,D,20220923,000000,2192.1100000,2192.6800000,2071.3700000,2089.8700000,56624432007
RI.IMOEX,D,20220926,000000,2054.5600000,2054.5600000,1841.4200000,1933.3500000,85508194318
RI.IMOEX,D,20220927,000000,1930.5800000,1975.3200000,1904.2400000,1953.4600000,52633751160
RI.IMOEX,D,20220928,000000,1978.8900000,2018.9900000,1948.2500000,1963.8600000,49239656511
RI.IMOEX,D,20220929,000000,1998.2400000,2005.8000000,1917.6200000,1953.7700000,42252034162
RI.IMOEX,D,20220930,000000,1977.7500000,2005.2100000,1872.9500000,1957.3100000,100091636553
RI.IMOEX,D,20221003,000000,1991.8800000,2047.5400000,1972.4300000,2041.9600000,44136515328
RI.IMOEX,D,20221004,000000,2071.1900000,2079.6700000,2016.5900000,2046.4200000,46330590613
RI.IMOEX,D,20221005,000000,2041.5000000,2045.6200000,1971.9100000,2029.8800000,53345561657
RI.IMOEX,D,20221006,000000,2027.3000000,2053.8600000,2015.0900000,2020.6300000,35069598563
RI.IMOEX,D,20221007,000000,2012.9500000,2012.9500000,1939.5400000,1944.7500000,41338721228
RI.IMOEX,D,20221010,000000,1783.6600000,1917.9100000,1775.0400000,1916.9700000,56213534138
RI.IMOEX,D,20221011,000000,1928.7400000,1952.8000000,1909.1100000,1949.4600000,31777026370
RI.IMOEX,D,20221012,000000,1965.3900000,1974.5900000,1937.9300000,1951.6500000,27516634806
RI.IMOEX,D,20221013,000000,1950.2400000,1975.8400000,1941.1800000,1955.2000000,25220933604
RI.IMOEX,D,20221014,000000,1963.3800000,1965.7700000,1933.2900000,1950.9800000,23776705906
RI.IMOEX,D,20221017,000000,1958.1800000,2013.6100000,1955.7000000,2012.8500000,32175039647
RI.IMOEX,D,20221018,000000,2031.5600000,2039.6700000,1999.3800000,2032.4000000,33713360158
RI.IMOEX,D,20221019,000000,1986.6700000,2006.0600000,1953.7400000,1978.4000000,35653339651
RI.IMOEX,D,20221020,000000,1998.7400000,2032.5800000,1991.0900000,2025.5100000,35860493555
RI.IMOEX,D,20221021,000000,2026.4400000,2049.0000000,2000.6800000,2043.7100000,35140098225
RI.IMOEX,D,20221024,000000,2070.3600000,2088.3100000,2048.3700000,2063.9500000,32782289123
RI.IMOEX,D,20221025,000000,2066.2800000,2130.6500000,2058.0900000,2130.6500000,42178068973
RI.IMOEX,D,20221026,000000,2131.1800000,2144.5600000,2093.1200000,2120.5800000,41997555651
RI.IMOEX,D,20221027,000000,2133.8100000,2164.6400000,2123.5700000,2164.6400000,40963107264
RI.IMOEX,D,20221028,000000,2154.2800000,2171.8800000,2130.7500000,2167.7000000,43316441662
RI.IMOEX,D,20221031,000000,2173.0000000,2184.3800000,2155.7500000,2166.6100000,31190431277
RI.IMOEX,D,20221101,000000,2179.1500000,2185.6000000,2161.1800000,2174.3500000,21666316859
RI.IMOEX,D,20221102,000000,2178.2500000,2184.8900000,2160.5600000,2173.8400000,21936421393
RI.IMOEX,D,20221103,000000,2145.5400000,2156.7800000,2123.3200000,2155.9200000,25595591910
RI.IMOEX,D,20221107,000000,2176.3300000,2208.7800000,2172.3400000,2208.7800000,41212321204
RI.IMOEX,D,20221108,000000,2213.3900000,2221.1300000,2188.2200000,2207.2000000,37652011258
RI.IMOEX,D,20221109,000000,2201.0600000,2205.9200000,2166.4200000,2166.5600000,32073155118
RI.IMOEX,D,20221110,000000,2167.9600000,2211.2100000,2161.5700000,2210.0200000,50591489443
RI.IMOEX,D,20221111,000000,2221.6800000,2224.9700000,2204.3300000,2217.4400000,34984845254
RI.IMOEX,D,20221114,000000,2230.8000000,2245.9000000,2221.3100000,2244.7700000,39390179041
RI.IMOEX,D,20221115,000000,2249.2200000,2254.9400000,2211.1900000,2223.2600000,36243329791
RI.IMOEX,D,20221116,000000,2199.1000000,2232.8300000,2191.9500000,2227.1900000,28916549557
RI.IMOEX,D,20221117,000000,2227.5400000,2235.7600000,2200.1100000,2212.9300000,24046100710
RI.IMOEX,D,20221118,000000,2208.3900000,2211.7000000,2189.9300000,2206.3200000,19073284451
RI.IMOEX,D,20221121,000000,2204.9000000,2204.9000000,2161.3500000,2166.3100000,27959505279
RI.IMOEX,D,20221122,000000,2179.7600000,2200.0600000,2169.6200000,2196.0400000,21497465367
RI.IMOEX,D,20221123,000000,2196.2400000,2217.4000000,2180.6400000,2211.8900000,32908616225
RI.IMOEX,D,20221124,000000,2214.1400000,2225.9200000,2206.1200000,2210.9500000,20333772780
RI.IMOEX,D,20221125,000000,2209.3100000,2211.1000000,2190.6700000,2195.1700000,18848119532
RI.IMOEX,D,20221128,000000,2180.3200000,2182.1600000,2163.4400000,2177.4500000,23721584754
RI.IMOEX,D,20221129,000000,2180.6500000,2191.4400000,2178.3400000,2185.3200000,20734029281
RI.IMOEX,D,20221130,000000,2184.2700000,2184.2700000,2172.6700000,2174.5300000,15527294087
RI.IMOEX,D,20221201,000000,2189.6500000,2193.4100000,2183.5700000,2187.2900000,20226870823
RI.IMOEX,D,20221202,000000,2189.1900000,2189.3500000,2173.4800000,2180.4400000,21963477262
RI.IMOEX,D,20221205,000000,2179.7900000,2210.7000000,2174.1700000,2208.2800000,36871201399
RI.IMOEX,D,20221206,000000,2204.5100000,2208.3600000,2184.6500000,2196.2400000,22129985761
RI.IMOEX,D,20221207,000000,2185.0100000,2193.7100000,2166.7700000,2192.8800000,27513498173
RI.IMOEX,D,20221208,000000,2196.1700000,2197.7700000,2174.5700000,2184.4300000,21944762833
RI.IMOEX,D,20221209,000000,2178.9300000,2183.9700000,2169.0400000,2177.8500000,16814054619
RI.IMOEX,D,20221212,000000,2178.3300000,2185.4900000,2163.3300000,2173.1600000,19554875413
RI.IMOEX,D,20221213,000000,2175.2900000,2177.9500000,2154.5200000,2174.3800000,25001005048
RI.IMOEX,D,20221214,000000,2171.1200000,2171.3100000,2154.6500000,2159.8100000,20961419339
RI.IMOEX,D,20221215,000000,2151.6900000,2151.6900000,2115.2100000,2126.8000000,30535772701
RI.IMOEX,D,20221216,000000,2118.4300000,2135.7900000,2116.0800000,2132.7500000,19694821150
RI.IMOEX,D,20221219,000000,2131.3300000,2139.0700000,2109.5600000,2129.9800000,30342922048
RI.IMOEX,D,20221220,000000,2071.1000000,2119.3700000,2070.5800000,2119.3700000,34165366683
